details,etat,adresse_vente,prix,image_link
Gps Tracker Géolocalisation,Neuf,"Ouakam,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb8302ce58ad1d5431d9e6cf04945336/-/horizon-files-prod/ed/picture/migrated/qm0j529/09e8d7e8562a17b34f0d50f9e7e3b42863d46aef.jpg
PARE BRISE,Neuf,"Médina,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/729c3087efa7934567107e0723dfcb78/-/horizon-files-prod/ed/picture/migrated/qn7jn2g/cfb86a7d869b1965227b54d58bee41c96abc5365.jpg
RADIATEUR,Neuf,"Médina,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac80258bfd09a67bb42e5e22fb7e4a63/-/horizon-files-prod/ed/picture/migrated/qq95xgk/f41ac2d0059a64c8576bc746374e2951b99720c5.jpg
Bache voiture 4x4 et SUV imperméable et doublé en coton,Neuf,"Grand-Dakar,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4453914bf7532088404b37b1ef796b25/-/horizon-files-prod/ed/picture/qvjrkkw/67e13f800ae199b5c83abbbb9a09ab4fc219fac5.png
battery 🔋 pile,Neuf,"Dieuppeul,Dakar",3000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a37a2a4e8a10a3f5f3e4b2fbb72119e/-/horizon-files-prod/ed/picture/qgq99req/c1e4bd3dfe6112cae54e0b6b20864a415198b666.jpg
Castrol edge huile de moteur (oil) 5W-30 16 000KM,Neuf,"Avenue Bourguiba,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c06984c76b8371a7c5cb8a22f829709/-/horizon-files-prod/ed/picture/q4489nz4/76895e18ec28591be529d4cd7e2e70666a9f3794.png
Ecran Retroviseur Tactile multimédia,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb096cc3846700ddbd4047119f7407e4/-/horizon-files-prod/ed/picture/qj4r2w7d/1346b8295192cbd3c23a493f9c6ecc95a66dfc31.jpg
CANNE ANTIVOL POUR VOITURE,Neuf,"Mbour,Thiès",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/780c17a149b7083e0f56048a4c3cb3c6/-/horizon-files-prod/ed/picture/qxj25qv4/a1cb485651d69630ad444a7b264dd832102ea272.jpg
Bache auto,Neuf,"Pikine,Dakar",12500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/78e57cc616509297f7b110da08805982/-/horizon-files-prod/ed/picture/qv4e2z5x/e2ca2280e60c01ea24588b758dc8c873b997d0d0.jpg
Siège Auto BB haut de gamme et booster enfant,Neuf,"Hann maristes,Dakar",64000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b628b9e0bb3c4d400aad7552362f9211/-/horizon-files-prod/ed/picture/q8v575k0/499f355e89c88ac435398dcec8de2b178a3ff644.jpg
Pare-brise,Neuf,"Médina,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ab00187a42a2b0724b2b37722c0cfb0a/-/horizon-files-prod/ed/picture/q448x6e8/1e9bf778d82d9c0d99cff3e62b33d5cd4f218311.jpg
Outil de diagnostic voitures wifi OBD2 ELM327,Neuf,"Patte d‘oie,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e79408bd139d1f9ed5798e5d3208954c/-/horizon-files-prod/ed/picture/qngxzznz/e51bc281d25194bab8cdbb3d4f2bfe47061e4a0e.jpg
Bache voiture 4x4 et SUV imperméable et doublé en coton,Neuf,"Grand-Dakar,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94cae65dfa991ea6e4a350eb474b9fd4/-/horizon-files-prod/ed/picture/qxj6q7zm/ebc17c7f0ab32cd1626fd6922d27eab048597174.png
