web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,détails,etat,adresse,prix,image_lien-src,description
"1715910693-1","https://www.expat-dakar.com/equipements-pieces?page=57","Gyrophare led bulb
Neuf
Plateau,
Dakar

12. mars, 09:31

17 000 F Cfa

782126969","https://www.expat-dakar.com/annonce/gyrophare-led-bulb-2755148","Gyrophare led bulb","Neuf","Plateau

Dakar","17 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9e1495205c34424d312012faf8ee0318/-/horizon-files-prod/ed/picture/q9dvvw0/f2c55cadbe28493485daff36c6037e9ae7856ad9.png","HQRP® Amber Mini Beacon Strobe Light plus HQRP® Coaster; LED Bulb: 30 SMD; 360 Degrees Lighting; Working Voltage: 12-100V; IP56 protection standards; -30 ° C to + 50 ° C Working temperature range; Intensity: 660LM; Power: 7.2W"
"1715910695-2","https://www.expat-dakar.com/equipements-pieces?page=57","Aikezi Aspirateur gonfleur multifonctions 4 en 1
Neuf
Hann Bel-Air,
Dakar

16. avr., 11:37

35 000 F Cfa

775160371

784319494","https://www.expat-dakar.com/annonce/aikezi-aspirateur-gonfleur-multifonctions-4-en-1-2902801","Aikezi Aspirateur gonfleur multifonctions 4 en 1","Neuf","Hann Bel-Air

Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/214ca89af5f92a8e8b128c799c690e79/-/horizon-files-prod/ed/picture/q7r0dmm/b8a5c48f1f236b6dd013d1e6d9b4e1663118f3c2.jpg","1: Aspirateur de voiture, Fonction2: gonfleur d'automobile, Fonction3: Pression des pneus, Fonction4: Éclairage à LED,"
"1715910697-3","https://www.expat-dakar.com/equipements-pieces?page=57","Aspirateur Voiture plus Gonfleur de Pneu
Neuf
Hann Bel-Air,
Dakar

16. avr., 11:37

45 000 F Cfa

775160371

784319494","https://www.expat-dakar.com/annonce/aspirateur-voiture-plus-gonfleur-de-pneu-2902790","Aspirateur Voiture plus Gonfleur de Pneu","Neuf","Hann Bel-Air

Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/66a991fa74b397df35417e5538ff4722/-/horizon-files-prod/ed/picture/qv5k0qm/a44e531f3073d1a83b8b780aa210980e450e3b3d.jpg","L'aspirateur de voiture 12V 120W peut absorber efficacement les poils d'animaux, les collations, les jus de fruits et absorber toute impureté humide ou sècheFonction 1: Aspirateur de voiture,Fonction 2: gonfleur d'automobile,Fonction 3: Pression des pneus,Fonction 4: Éclairage à LED,"
"1715910700-4","https://www.expat-dakar.com/equipements-pieces?page=57","Aspirateur Multifonction 4 en 1
Neuf
Hann Bel-Air,
Dakar

vendredi, 08:56

35 000 F Cfa

775160371

784319494","https://www.expat-dakar.com/annonce/aspirateur-multifonction-4-en-1-3124302","Aspirateur Multifonction 4 en 1","Neuf","Hann Bel-Air

Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0ec8d53744cf6c57e2f352ca2090145f/-/horizon-files-prod/ed/picture/qv09zej/35763ff8a4989a38535cf12315a733a95e38b9cd.jpg",". Polyvalence et forte aspiration: aspirateur de voiture 12v 120w, aspiration super puissante, supporte une utilisation sèche et humide, peut facilement ramasser la poussière, les miettes, les poils d'animaux, les liquides et plus encore. équipé de 3 types d'accessoires différents pour bien nettoyer toutes les zones de votre maison ou de votre voiture. Idéal pour une variété d'applications, peut être utilisé pour le nettoyage de voitures.Conception d'échappement bilatérale : pour favoriser le flux d'air, une réduction efficace du bruit, il produit moins de 75 db de son tout en maintenant sa puissante capacité d'aspiration.Filtre à air multifonctionnel : avec le manomètre de gonflage de pneu numérique intelligent, assurez-vous de la pression exacte des pneus et gonflez les pneus à tout moment et n'importe où en 80 secondes. pression des pneus préréglée, gonflage et arrêt automatiques. La jauge de pression des pneus empêche un gonflage excessif - vous aide à profiter de pneus plus durables, d'une consommation d'essence plus élevée, d'une expérience de conduite plus sûre et plus douce.Lumière LED haute luminosité intégrée: n'a pas peur de l'obscurité, des déchets sombres en un clin d'œil, une aide précieuse pour nettoyer les endroits sombres et le nettoyage de nuit.Rayon d'action de 5,5 m : câble d'alimentation de 4,2 m + hôte de 0,35 m + flexible de 0,5 m."
"1715910705-5","https://www.expat-dakar.com/equipements-pieces?page=57","Cric plancher hydraulic 2 ton

Plateau,
Dakar

19. févr., 12:00

30 000 F Cfa

782126969","https://www.expat-dakar.com/annonce/cric-plancher-hydraulic-2-ton-2754321","Cric plancher hydraulic 2 ton","","Plateau

Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/62026586469a91fd92abb4a163e064b3/-/horizon-files-prod/ed/picture/migrated/qp0q4dm/39662fdd7dce216ee4fc23ca03d7e9d6947f0aef.jpg","La construction en acier robuste offre une utilisation sûre et une durabilité à long terme. Caractéristiques avec hauteur de levage Le système de dérivation de sécurité empêche la surcharge et garantit un fonctionnement sûr. Pour une maniabilité en douceur, le cric est équipé de deux roulettes en acier et de deux roulettes pivotantes à 360 degrés. Fourni dans un étui en PVC intelligent pour un transport et un rangement faciles."
"1715910707-6","https://www.expat-dakar.com/equipements-pieces?page=57","Aspirateur Multifonction 4 en 1
Neuf
Hann Bel-Air,
Dakar

vendredi, 08:56

35 000 F Cfa

775160371

784319494","https://www.expat-dakar.com/annonce/aspirateur-multifonction-4-en-1-3165237","Aspirateur Multifonction 4 en 1","Neuf","Hann Bel-Air

Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/53bc1b51a5a68ad6b8252b92005ea5af/-/horizon-files-prod/ed/picture/qjdw60z/739668f445626a23ae17c52e04b5f0d252280a20.jpg","Polyvalence et forte aspiration: aspirateur de voiture 12v 120w, aspiration super puissante, supporte une utilisation sèche et humide, peut facilement ramasser la poussière, les miettes, les poils d'animaux, les liquides et plus encore. équipé de 3 types d'accessoires différents pour bien nettoyer toutes les zones de votre maison ou de votre voiture. Idéal pour une variété d'applications, peut être utilisé pour le nettoyage de voitures.Conception d'échappement bilatérale : pour favoriser le flux d'air, une réduction efficace du bruit, il produit moins de 75 db de son tout en maintenant sa puissante capacité d'aspiration.Filtre à air multifonctionnel : avec le manomètre de gonflage de pneu numérique intelligent, assurez-vous de la pression exacte des pneus et gonflez les pneus à tout moment et n'importe où en 80 secondes. pression des pneus préréglée, gonflage et arrêt automatiques. La jauge de pression des pneus empêche un gonflage excessif - vous aide à profiter de pneus plus durables, d'une consommation d'essence plus élevée, d'une expérience de conduite plus sûre et plus douce.Lumière LED haute luminosité intégrée: n'a pas peur de l'obscurité, des déchets sombres en un clin d'œil, une aide précieuse pour nettoyer les endroits sombres et le nettoyage de nuit.Rayon d'action de 5,5 m : câble d'alimentation de 4,2 m + hôte de 0,35 m + flexible de 0,5 m."
"1715910715-7","https://www.expat-dakar.com/equipements-pieces?page=56","Chargeur de batterie pour voiture 12V/24V
Neuf
Mbour,
Thiès

18. mars, 06:34

45 000 F Cfa

774086089

778540224","https://www.expat-dakar.com/annonce/chargeur-de-batterie-pour-voiture-12v24v-3332329","Chargeur de batterie pour voiture 12V/24V","Neuf","Mbour

Thiès","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4e543986361e7568cd243deeef8a6070/-/horizon-files-prod/ed/picture/qqx2mpv/6a3463f4505165e6cdaa2792b3f929a4a4505a6b.jpg","Chargeur de batterie marque allemande. Pour batterie de voiture 12V et 24V et d'une capacité de 20 à 300 Ah.

Protection contre l'inversion de polarité, les coûts circuits et les surcharges.

Commande intelligente à microprocesseur

8 programmes de charge entièrement automatique."
"1715910720-8","https://www.expat-dakar.com/equipements-pieces?page=56","Aspirateur Multifonction 4 en 1 Pour Voiture
Neuf
Hann Bel-Air,
Dakar

13. févr., 11:56

45 000 F Cfa

775160371

784319494","https://www.expat-dakar.com/annonce/aspirateur-multifonction-4-en-1-pour-voiture-3453442","Aspirateur Multifonction 4 en 1 Pour Voiture","Neuf","Hann Bel-Air

Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/76f91b4c2e9ef0d491da0b07b05f18c1/-/horizon-files-prod/ed/picture/qezkpvz/afdd4e60772471e3ccf59eca9825fd7ba9663aa8.jpg","Le moteur puissant fournit une puissance d'aspiration de 6000pa. Cordon à contenir. Permet de nettoyer facilement la banquette arrière. Petit et léger. Pratique à transporter et à ranger.Fonction de gonflage intégrée et manomètre avec 3 sorties de gonflage différentes.Peut être utilisé comme pompe de compresseur d'air pour un poids de voiture inférieur à 14 000 lb. Convient également pour voiture, vélo, ballon et anneau de natation.Lumière LED: conception d'interrupteur séparé. Vous permet de nettoyer tous les coins sombres de votre voiture et de votre chambre. Plus que cela, vous pouvez l'utiliser comme une torche électrique la nuit. Prenez votre vie."
"1715910723-9","https://www.expat-dakar.com/equipements-pieces?page=56","Aspirateur Multifonction 4 en 1
Neuf
Hann Bel-Air,
Dakar

4. mars, 15:17

35 000 F Cfa

775160371

784319494","https://www.expat-dakar.com/annonce/aspirateur-multifonction-4-en-1-3453444","Aspirateur Multifonction 4 en 1","Neuf","Hann Bel-Air

Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/98fb1f1948a09b9c9bf3209e013a163b/-/horizon-files-prod/ed/picture/q68jrdj/46ffe3ae2324a86033bac598addd3c9398af2502.jpg","Polyvalence et forte aspiration: aspirateur de voiture 12v 120w, aspiration super puissante, supporte une utilisation sèche et humide, peut facilement ramasser la poussière, les miettes, les poils d'animaux, les liquides et plus encore. équipé de 3 types d'accessoires différents pour bien nettoyer toutes les zones de votre maison ou de votre voiture. Idéal pour une variété d'applications, peut être utilisé pour le nettoyage de voitures.Conception d'échappement bilatérale : pour favoriser le flux d'air, une réduction efficace du bruit, il produit moins de 75 db de son tout en maintenant sa puissante capacité d'aspiration.Filtre à air multifonctionnel : avec le manomètre de gonflage de pneu numérique intelligent, assurez-vous de la pression exacte des pneus et gonflez les pneus à tout moment et n'importe où en 80 secondes. pression des pneus préréglée, gonflage et arrêt automatiques. La jauge de pression des pneus empêche un gonflage excessif - vous aide à profiter de pneus plus durables, d'une consommation d'essence plus élevée, d'une expérience de conduite plus sûre et plus douce.Lumière LED haute luminosité intégrée: n'a pas peur de l'obscurité, des déchets sombres en un clin d'œil, une aide précieuse pour nettoyer les endroits sombres et le nettoyage de nuit.Rayon d'action de 5,5 m : câble d'alimentation de 4,2 m + hôte de 0,35 m + flexible de 0,5 m."
"1715910728-10","https://www.expat-dakar.com/equipements-pieces?page=56","Gonfleur de pneu 12 V pour voiture
Neuf
Mbour,
Thiès

18. mars, 06:22

23 000 F Cfa

774086089

778540224","https://www.expat-dakar.com/annonce/gonfleur-de-pneu-12-v-pour-voiture-3595875","Gonfleur de pneu 12 V pour voiture","Neuf","Mbour

Thiès","23 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b8f513d17ffe91422e5cc779a428cae/-/horizon-files-prod/ed/picture/q49r97z/00975708eef85db499038be351f7eb350dc31d49.jpg","Gonfleur de pneu 12 V de marque Osram.

Temps de gonflage: 4,5 minutes."
