etat_moto,marque,annee,adresse_vente,prix,image_link
Neuf,Lifan,2024,"Castor,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d9b28fa55f9ae4db758600c466983f0c/-/horizon-files-prod/ed/picture/qv4e7558/e62337323745c2821d432d4ed8f96599f65682b4.jpg
Venant,Suzuki,2021,"Dieuppeul,Dakar",1950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/79b55c3bab8f56d25e23a3a8ab9c3791/-/horizon-files-prod/ed/picture/qq47mvd4/f65130037dda76f16e3afe67df684623f37c4fe7.jpg
Venant,Kymco,2012,"Bel air,Dakar",450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6bd89da414647802cd74ee1364b167ec/-/horizon-files-prod/ed/picture/q448x65m/bec4eee9e442189eb83dbd8938756e7030a3085e.jpg
Occasion,KTM,2008,"Somone,Thiès",1750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ca9194a00c1c96babaf1ea9794f6a49/-/horizon-files-prod/ed/picture/qrzvgj4m/c9e4b4b41331bfdfd371904eaa6b77b95b008a70.jpg
Venant,Yamaha,2021,"Médina,Dakar",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a27f9a77db4bde98cf4a2bc7a2eba2b/-/horizon-files-prod/ed/picture/qkrgw0j5/a2212859dea7c8f59ed94ba64891a8a37e738b66.jpg
Occasion,BMW,2018,"Fann,Dakar",2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2d8af3bc7c2c3b67d98193e547c9fc8/-/horizon-files-prod/ed/picture/qxj20xq8/4c7d9cc53b9fb53cb4e970b707d2a89295a3156c.jpg
Venant,Kymco,2015,"Almadies,Dakar",700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eee6e26c19e16a75e02b2f36c5434d94/-/horizon-files-prod/ed/picture/q0gwev0j/eb665f19fc290d09a367b802405567b3c64f956c.jpg
Neuf,Haojue,2024,"Derkle,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6705f80010ed591c92144661e9c03d6c/-/horizon-files-prod/ed/picture/qxj2r67m/e37a44e1edec70c7403746fb5a78e3ccbf810e1e.jpg
Occasion,Aprilia,2006,"Pikine,Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/11f9d07d0c785b653e39a40424ccd106/-/horizon-files-prod/ed/picture/q8v5edmp/791ccfcb4c94d1953cddb6f520ce66e0e3c85097.jpg
Venant,BMW,2023,"Dieuppeul,Dakar",4900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe05e7d1ef4078728e21b15269679594/-/horizon-files-prod/ed/picture/q0gwqnze/8e6cb27a37935892ba5ace129b32d7fcc0694b36.jpg
Venant,Yamaha,2024,"Liberte 6 extension,Dakar",1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/998a3d6015dac948f03ef4376c16ae34/-/horizon-files-prod/ed/picture/qxj258mj/1767188cf146c1a6db09bb0d371db723a654ab4a.jpg
Venant,BMW,2019,"Hann maristes,Dakar",3200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4640bf735bdc072f8b831eea129cb951/-/horizon-files-prod/ed/picture/q56xmpx0/b624d10485a8c721326711ed2cd3fcaadecf48b5.jpg
Venant,Yamaha,2020,"Médina,Dakar",3600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/be6d2df719c8627d99191aaaca933fa8/-/horizon-files-prod/ed/picture/qwe2d2k4/11dfd19c33a098398fbbbb6002d83f106a2b012a.jpg
Venant,Yamaha,2012,"Hann maristes,Dakar",2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/517b15a2d044c109708eb49917afc115/-/horizon-files-prod/ed/picture/qgq9n0m0/fa7c6652fb968a94158294b9fed2baf6ba8caea2.jpg
Venant,Honda,2018,"Hann maristes,Dakar",3200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/beb38ab9c595c6bd894b0d16f0a94ddf/-/horizon-files-prod/ed/picture/qv4e2ekp/9a0f2c2e9a498dcfe33e2d6641105bc0a95ca131.jpg
Neuf,Honda,2020,"Almadies 2,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/654cd4c25eafce5ad4d266b02e958e9e/-/horizon-files-prod/ed/picture/qq47m7de/100f8a071cabb0a984e85dbaaabd48371368c22c.jpg
