etat_car,marque,annee,boite_vit,adresse_vente,prix,image_link
Venant,Peugeot,2018,Automatique,"Sacré-cœur,Dakar",7000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/43265fe7a722ad676fac9e0a3268e68f/-/horizon-files-prod/ed/picture/qwe2dg5m/8decb54115fa8686f8b17d7f6d869ebe390b7847.jpg
Occasion,Jeep,2016,Automatique,"Sicap Sacré-cœur,Dakar",6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/800b7fc27cbd589b9f96cca3d56576e9/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/qdek560w/022be71040d29863eed3cbd153bfaf73f59f8461.jpg
Occasion,Kia,2014,Automatique,"Yoff,Dakar",3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2240d5b2103ceccb238d23bc17c4d7f/-/horizon-files-prod/ed/picture/qrzv0n22/20f210951ccee4fd63df4a9d055250b0f3b41b21.jpg
Occasion,Peugeot,2015,Manuelle,"Ouest foire,Dakar",6700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/266d46b9517319686d0002490aa61d7c/-/horizon-files-prod/ed/picture/qwe2d88z/0e059ff1080340cdd5ca5dcdbeb447d2bc7513a0.jpg
Venant,Hyundai,2016,Automatique,"Sicap Liberté,Dakar",8700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/61e081c652857924e412d6b04e78a728/-/horizon-files-prod/ed/picture/qkrgwq22/f42eead69ce794442d5ee09e0c7885b92fc1d265.jpg
Occasion,Toyota,2006,Manuelle,"Plateau,Dakar",2300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f72e9ede13012310299891e771e6e7a5/-/horizon-files-prod/ed/picture/q9m9eep0/bc5329ec6f1ccc37d4d0232f5cf4ceb75a0848ff.jpg
Occasion,Toyota,2006,Manuelle,"Plateau,Dakar",1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d2198be265a8c081594793a2ebd84f0a/-/horizon-files-prod/ed/picture/qj4rd9ze/f86856c489e106ddef55218cb0013d4c52071e2e.jpg
Occasion,Hyundai,2008,Manuelle,"Plateau,Dakar",2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/54be6c9b9ce4dbe7188419de4d767a23/-/horizon-files-prod/ed/picture/qxj2gm4j/52f21e65c6ff955d3d10e1de6e1e57cce5f6b723.jpg
Occasion,Toyota,2009,Manuelle,"Plateau,Dakar",2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38f93adc4b38674ac5b27e6c206b26b8/-/horizon-files-prod/ed/picture/qdewv7dg/5b6cfc8a9c5609e4460c586f6604fa4aa051de77.jpg
Venant,Mitsubishi,2015,Automatique,"Point-e,Dakar",8200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1018501a0db84d1e2c088b9e4f1a30e0/-/horizon-files-prod/ed/picture/qwe2dz60/1c06fc5592fb0bc6f72740b43e5dde7384be7980.jpg
Occasion,Citroen,2022,Manuelle,"Hann Bel-Air,Dakar",9000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc3ec1df8c92137298dabb5c28e92ade/-/horizon-files-prod/ed/picture/qngx4pvg/35cb7a8216f77c7dac6c769e089e2eb9cf22ac9b.png
Occasion,Ford,2010,Automatique,"Plateau,Dakar",2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0729ef75ad3dceac9e0f2c8544439cc/-/horizon-files-prod/ed/picture/qj4rw6kg/4c97c7e9ac9686b58db0db6d9c94ec7b24ce8520.jpg
Occasion,Toyota,2011,Manuelle,"Plateau,Dakar",2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f3e8c9669d82da41eb4d1c66c9326261/-/horizon-files-prod/ed/picture/qwez568m/5791d1c0283ce29bcf36d08a6e2d0acd6aba40af.jpg
Occasion,Toyota,2010,Manuelle,"Grand-Dakar,Dakar",4400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e7ace057ae6739d328411c0aa090c70f/-/horizon-files-prod/ed/picture/qq47gzkp/5e4fcf9153e41e295a07257d5d254b58a9b0bfec.jpg
Venant,Ford,2017,Automatique,"Sicap Liberté,Dakar",12300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e3f0f1e0422096ed141bf74b5831fb8f/-/horizon-files-prod/ed/picture/qpd6r4vm/d6ac8aec9d097831f1df5c3885590cea381522a3.jpg
Venant,Kia,2018,Automatique,"Sicap Liberté,Dakar",12600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f42007a3b3d98049ce71fd8a805884e/-/horizon-files-prod/ed/picture/q0gw4mx8/46d8c8d5186aa4aab9b8887a0d3123cc4a4c868a.jpg
Venant,Kia,2018,Automatique,"Sicap Liberté,Dakar",12600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c36225cba05a91c7b4b67570896998f0/-/horizon-files-prod/ed/picture/qkrg4xq2/561283d31f92c699e79f16eca185b98b091c94fe.jpg
Venant,Mitsubishi,2017,Automatique,"Sicap Liberté,Dakar",11200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e981cdbedb57b1dbac98409097d0bff7/-/horizon-files-prod/ed/picture/qj4r84zv/beeff48bc15f9b3b29661107b251eaf1901b43aa.jpg
Occasion,Ford,2012,Automatique,"Nord foire,Dakar",2850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a6c96aaeeee76093fb3f70054b76a1cc/-/horizon-files-prod/ed/picture/qenq6n8j/06ef73f605e801079eb313ba7efd714353d3f8d2.jpg
Venant,Mitsubishi,2015,Automatique,"Patte d‘oie,Dakar",7450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5687261a0922c6aa0501bd570e0bcb39/-/horizon-files-prod/ed/picture/q9m9e697/642c80b12b9a06dc904e9bd171e6f783403eab10.jpg
