etat,marque,année,boite vitesse,adresse,prix(FCFA),image_lien
Neuf,BMW,2020,Automatique,"Gibraltar,Dakar",92000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c39c73347dcaeb4abf4512e41baf06c/-/horizon-files-prod/ed/picture/qg6wm04/f5810dcfa589847a0bed325ea1dc12980133fcd6.jpg
Occasion,Mercedes-Benz,2013,Automatique,"Hlm grand-yoff,Dakar",11500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/709364c800a6bdb0c00e203cddb79430/-/horizon-files-prod/ed/picture/qq44296k/9ec4aa6f2b26bf6de9f22b371b7a6b768f267a1f.jpg
Neuf,Kia,2014,Automatique,"Hlm grand-yoff,Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/272f36c028dfa26703c51e7e8a70224c/-/horizon-files-prod/ed/picture/qxjdg428/3ab9a8f1898070ff48d54b770101eaa1e6cad5a1.jpg
Occasion,Chevrolet,2013,Automatique,"Liberte 6,Dakar",2800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/85b67342f93322ea79f9049f361b62e8/-/horizon-files-prod/ed/picture/qrz2d6m9/a52a023451704b6142bfeeb060329f2ff7d8fca4.jpg
Venant,Mercedes-Benz,2020,Automatique,"Liberte 6,Dakar",58000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/42ad03e1b498cc98c4c3374952070652/-/horizon-files-prod/ed/picture/qend8gm4/41d3353a721978a34de54ac1e93c8ca3344ec57e.jpg
Occasion,Chevrolet,2016,Automatique,"Sacré-cœur,Dakar",5500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/670a7676d5ac9a3e48fd14c87e949812/-/horizon-files-prod/ed/picture/qkwrwzn/784cb9219b650cba85ba7c347bb2f33dd81a7f50.jpg
Neuf,Chevrolet,2015,Automatique,"Cité Damel,Dakar",5000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/13a65fc71be8ff6be88649a8d8d9d303/-/horizon-files-prod/ed/picture/qm55n4qg/fa192a86a5be53dd137ced717d8158629acdf77e.jpg
Venant,Renault,2014,Manuelle,"VDN,Dakar",5400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4ae9cfe9ac7519f7398b86821da2bbd/-/horizon-files-prod/ed/picture/qend07kd/a03ae2e5c0842c34c047ba68a0dcc6ce2041ad1f.jpg
Venant,Mercedes-Benz,2021,Automatique,"Liberte 6,Dakar",90000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8fe9c4169c5e08ef59bfcb4cd8bcc905/-/horizon-files-prod/ed/picture/qrz2dwn2/83b29631d22c15312e1cde274d2eb0a6f257087f.jpg
Venant,Mercedes-Benz,2015,Automatique,"Sacré-cœur,Dakar",10900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/93a36cf4b651017cffa26a5eb18728e6/-/horizon-files-prod/ed/picture/qd5j420/30f32691306ca81bf34a1208ae19af2aedc27c05.jpg
Occasion,Chevrolet,2010,Automatique,"Almadies,Dakar",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af80cc827f1e299c85611a52dd1b6c63/-/horizon-files-prod/ed/picture/qkrgwg28/abf330daf473e5d41405c52bf6a66bff88e56372.jpg
Venant,Ford,2019,Automatique,"Liberte 6,Dakar",19500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9579cd10a2a77cf1e74a41ecb70908c/-/horizon-files-prod/ed/picture/qng57p6m/29716c6dc81720ea63ec85bda5c3759caf721001.jpg
Occasion,Mitsubishi,2020,Automatique,"Liberte 6 extension,Dakar",17000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a913026f5e5036e80338628043d2ec78/-/horizon-files-prod/ed/picture/q9mmgzm8/fc106292966ee55ec30ba51d404873501c5ba94b.jpg
Neuf,Ford,2020,Automatique,"Sacré-cœur,Dakar",15200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c4599613ad916065120b5571d32c3a1/-/horizon-files-prod/ed/picture/qxjjw6q4/a30a78d870936312cb4a8ba489e78a55b3b7f5b8.jpg
